root, WNsense, synonyms, definition, Category
wont,WID-00488998-A-??-unwonted,(unwonted),"out of the ordinary; ""an unwonted softness in her face""",Not-a-Feeling
air,WID-00489029-V-??-air,(air),"expose to warm or heated air, so as to dry; ""Air linen""",Not-a-Feeling
glorify,WID-00489299-V-??-glorify,(glorify),"bestow glory upon; ""The victory over the enemy glorified the Republic""",Social
habit,WID-00489491-A-??-habitual,"(accustomed, customary, habitual, wonted)","commonly used or practiced; usual; ""his accustomed thoroughness""; ""took his customary morning walk""; ""his habitual comment""; ""with her wonted candor""",Not-a-Feeling
glorify,WID-00489496-V-??-glorify,(glorify),"cause to seem more splendid; ""You are glorifying a rather mediocre building""",Social
gauge,WID-00490285-V-??-gauge,(gauge),"measure precisely and against a standard; ""the wire is gauged""",Not-a-Feeling
different,WID-00490413-A-??-different,(different),"differing from all others; not ordinary; ""advertising that strives continually to be different""; ""this new music is certainly different but I don't really like it""",Other
upper,WID-00490579-R-??-uppermost,(uppermost),"in or into the highest position; ""the blade turned uppermost""",Not-a-Feeling
upper,WID-00490678-R-??-uppermost,(uppermost),"in or into the most prominent position, as in the mind; ""say what comes uppermost""",Not-a-Feeling
odd,WID-00490845-A-??-odd,(odd),"not easily explained; ""it is odd that his name is never mentioned""",Not-a-Feeling
time,WID-00490968-V-??-time,"(clock, time)","measure the time or duration of an event or action or the person who performs an action in a certain period of time; ""he clocked the runners""",Not-a-Feeling
peculiar,WID-00491089-A-??-peculiar,(peculiar),"markedly different from the usual; ""a peculiar hobby of stuffing and mounting bats""; ""a man...feels it a peculiar insult to be taunted with cowardice by a woman""-Virginia Woolf",Other
time,WID-00491313-V-??-mistime,(mistime),"time incorrectly; ""She mistimed the marathon runner""",Not-a-Feeling
accustom,WID-00491320-A-??-unaccustomed,(unaccustomed),"not customary or usual; ""an unaccustomed pleasure""; ""many varieties of unaccustomed foods""; ""a new budget of unaccustomed austerity""",Not-a-Feeling
vehement,WID-00492414-R-??-vehemently,(vehemently),"in a vehement manner; ""he vehemently denied the accusations against him""",Actions
common,WID-00492677-A-??-common,(common),"belonging to or participated in by a community as a whole; public; ""for the common good""; ""common lands are set aside for use by all members of a community""",Not-a-Feeling
verily,WID-00492745-R-??-verily,(verily),"in truth; certainly; ""I verily think so""; ""trust in the Lord...and verily thou shalt be fed""- Ps 37:3",Not-a-Feeling
vicarious,WID-00492900-R-??-vicariously,(vicariously),"indirectly, as, by, or through a substitute; ""she enjoyed the wedding vicariously""",Not-a-Feeling
communal,WID-00493012-A-??-communal,(communal),"for or by a group rather than individuals; ""dipping each his bread into a communal dish of stew""- Paul Roche; ""a communal settlement in which all earnings and food were shared""; ""a group effort""",Not-a-Feeling
individual,WID-00493460-A-??-individual,"(individual, single)","being or characteristic of a single thing or person; ""individual drops of rain""; ""please mark the individual pages""; ""they went their individual ways""",Not-a-Feeling
single,WID-00493460-A-??-single,"(individual, single)","being or characteristic of a single thing or person; ""individual drops of rain""; ""please mark the individual pages""; ""they went their individual ways""",Not-a-Feeling
idiosyncrasy,WID-00493820-A-??-idiosyncratic,(idiosyncratic),"peculiar to the individual; ""we all have our own idiosyncratic gestures""; ""Michelangelo's highly idiosyncratic style of painting""",Not-a-Feeling
individual,WID-00494027-A-??-individualist,"(individualist, individualistic)","marked by or expressing individuality; ""an individualistic way of dressing""",Not-a-Feeling
wanton,WID-00494336-R-??-wantonly,(wantonly),"in a wanton manner; ""the animals were killed wantonly for sport""",Not-a-Feeling
several,WID-00494409-A-??-several,"(respective, several, various)","considered individually; ""the respective club members""; ""specialists in their several fields""; ""the various reports all agreed""",Not-a-Feeling
weight,WID-00494522-R-??-weightily,(weightily),"as something very heavy; ""she moved weightily""",Not-a-Feeling
weight,WID-00494624-R-??-weightily,(weightily),"in a serious manner; ""the speech was weighty and it was weightily delivered""",Not-a-Feeling
let,WID-00496673-V-??-let,(let),"leave unchanged; ""let it be""",Not-a-Feeling
expand,WID-00496938-A-??-expansive,"(expansive, talkative)","friendly and open and willing to talk; ""wine made the guest expansive""",Social
express,WID-00497148-A-??-expressive,(expressive),"characterized by expression; ""a very expressive face""",Other
infuse,WID-00498299-V-??-infuse,"(impregnate, infuse, instill, tincture)","fill, as with a certain quality; ""The heavy traffic tinctures the air with carbon monoxide""",Not-a-Feeling
instill,WID-00498299-V-??-instill,"(impregnate, infuse, instill, tincture)","fill, as with a certain quality; ""The heavy traffic tinctures the air with carbon monoxide""",Not-a-Feeling
betwixt,WID-00498387-R-??-betwixt,"(between, betwixt)","in the interval; ""dancing all the dances with little rest between""",Not-a-Feeling
connubial,WID-00499521-R-??-connubial,"(conjugally, connubial)",in a conjugal manner,Not-a-Feeling
vocal,WID-00499530-A-??-vocal,"(outspoken, vocal)","given to expressing yourself freely or insistently; ""outspoken in their opposition to segregation""; ""a vocal assembly""",Social
verbal,WID-00500310-A-??-verbal,(verbal),"communicated in the form of words; ""verbal imagery""; ""a verbal protest""",Not-a-Feeling
imminent,WID-00500759-R-??-imminently,(imminently),in an imminent manner,Not-a-Feeling
close,WID-00501004-A-??-close,"(close, closelipped, closemouthed, secretive, tightlipped)","inclined to secrecy or reticence about divulging information; ""although they knew her whereabouts her friends kept close about it""",Not-a-Feeling
express,WID-00501723-A-??-inexpressive,(inexpressive),"not expressive; ""an inexpressive face""",Other
in,WID-00501990-R-??-in,"(in, inwards, inward)","to or toward the inside of; ""come in""; ""smash in the door""",Not-a-Feeling
inward,WID-00501990-R-??-inward,"(in, inwards, inward)","to or toward the inside of; ""come in""; ""smash in the door""",Not-a-Feeling
utter,WID-00501998-A-??-unutterable,"(unpronounceable, unutterable)","very difficult to pronounce correctly; ""an unpronounceable foreign word""; ""unutterable consonant clusters""",Not-a-Feeling
acute,WID-00502325-R-??-acutely,(acutely),"in an acute manner; ""she pitied her sister acutely""; ""acutely aware""",Not-a-Feeling
heavy,WID-00502487-A-??-heavy,"(clayey, cloggy, heavy)","(used of soil) compact and fine-grained; ""the clayey soil was heavy and easily saturated""",Not-a-Feeling
acute,WID-00503102-R-??-acutely,"(sharply, sharp, acutely)","changing suddenly in direction and degree; ""the road twists sharply after the light""; ""turn sharp left here""; ""the visor was acutely peaked""; ""her shoes had acutely pointed toes""",Not-a-Feeling
tight,WID-00503157-A-??-tight,(tight),"packed closely together; ""they stood in a tight little group""; ""hair in tight curls""; ""the pub was packed tight""",Not-a-Feeling
loose,WID-00503321-A-??-loose,(loose),"not compact or dense in structure or arrangement; ""loose gravel""",Not-a-Feeling
frantic,WID-00503370-R-??-frantically,"(madly, frantically)","in an uncontrolled manner; ""she fought back madly""",Not-a-Feeling
light,WID-00503527-A-??-light,(light),"(used of soil) loose and large-grained in consistency; ""light soil""",Not-a-Feeling
innervate,WID-00503569-V-??-innervate,(innervate),"stimulate to action; ""innervate a muscle or a nerve""",Actions
comparable,WID-00503982-A-??-comparable,(comparable),able to be compared or worthy of comparison,Not-a-Feeling
pinch,WID-00504019-V-??-pinch,"(pinch, vellicate)","irritate as if by a nip, pinch, or tear; ""smooth surfaces can vellicate the teeth""; ""the pain is as if sharp points pinch your back""",Not-a-Feeling
comparable,WID-00504592-A-??-incomparable,"(incomparable, uncomparable)","such that comparison is impossible; unsuitable for comparison or lacking features that can be compared; ""an incomparable week of rest and pleasure""; ""the computer proceeds with its incomparable logic and efficiency""; ""this report is incomparable with the earlier ones because of different breakdowns of the data""",Other
close,WID-00505226-R-??-close,"(close, closely, tight)","in an attentive manner; ""he remained close on his guard""",Not-a-Feeling
tight,WID-00505226-R-??-tight,"(close, closely, tight)","in an attentive manner; ""he remained close on his guard""",Not-a-Feeling
commensurate,WID-00505285-A-??-incommensurable,(incommensurable),impossible to measure or compare in value or size or excellence,Not-a-Feeling
natural,WID-00505352-R-??-naturally,"(naturally, by_nature)","through inherent nature; ""he was naturally lazy""",Not-a-Feeling
one,WID-00505410-A-??-one,"(matchless, nonpareil, one, one_and_only, peerless, unmatched, unmatchable, unrivaled, unrivalled)","eminent beyond or above comparison; ""matchless beauty""; ""the team's nonpareil center fielder""; ""she's one girl in a million""; ""the one and only Muhammad Ali""; ""a peerless scholar""; ""infamy unmatched in the Western world""; ""wrote with unmatchable clarity""; ""unrivaled mastery of her art""",Not-a-Feeling
peer,WID-00505410-A-??-peerless,"(matchless, nonpareil, one, one_and_only, peerless, unmatched, unmatchable, unrivaled, unrivalled)","eminent beyond or above comparison; ""matchless beauty""; ""the team's nonpareil center fielder""; ""she's one girl in a million""; ""the one and only Muhammad Ali""; ""a peerless scholar""; ""infamy unmatched in the Western world""; ""wrote with unmatchable clarity""; ""unrivaled mastery of her art""",Other
alone,WID-00505853-A-??-alone,"(alone, unique, unequaled, unequalled, unparalleled)","radically distinctive and without equal; ""he is alone in the field of microbiology""; ""this theory is altogether alone in its penetration of the problem""; ""Bach was unique in his handling of counterpoint""; ""craftsmen whose skill is unequaled""; ""unparalleled athletic ability""; ""a breakdown of law unparalleled in our history""",Other
compassionate,WID-00506299-A-??-compassionate,(compassionate),"showing or having compassion; ""heard the soft and compassionate voices of women""",Social
petrify,WID-00507485-V-??-petrify,"(lapidify, petrify)","change into stone; ""the wood petrified with time""",Not-a-Feeling
congenial,WID-00507789-A-??-congenial,(congenial),(used of plants) capable of cross-fertilization or of being grafted,Not-a-Feeling
congruous,WID-00507912-A-??-congruous,(congruous),suitable or appropriate together,Not-a-Feeling
together,WID-00507927-R-??-together,(together),"in each other's company; ""we went to the movies together""; ""the family that prays together stays together""",Not-a-Feeling
contradict,WID-00508750-A-??-contradictory,"(contradictory, mutually_exclusive)",unable to be both true at the same time,Not-a-Feeling
congenial,WID-00508924-A-??-uncongenial,(uncongenial),used of plant stock or scions; incapable of being grafted,Not-a-Feeling
ink,WID-00509100-V-??-ink,(ink),"mark, coat, cover, or stain with ink; ""he inked his finger""",Not-a-Feeling
sore,WID-00509533-R-??-sorely,"(painfully, sorely)","in or as if in pain; ""she moved painfully forward""; ""sorely wounded""",Not-a-Feeling
spot,WID-00509607-V-??-spot,(spot),"mark with a spot or spots so as to allow easy recognition; ""spot the areas that one should clearly identify""",Not-a-Feeling
better,WID-00509846-R-??-better,"(better, best)","from a position of superiority or authority; ""father knows best""; ""I know better.""",Not-a-Feeling
spot,WID-00509958-V-??-spot,(spot),"become spotted; ""This dress spots quickly""",Not-a-Feeling
competent,WID-00510050-A-??-competent,(competent),"properly or sufficiently qualified or capable or efficient; ""a competent typist""",Actions
able,WID-00510348-A-??-able,"(able, capable)","have the skills and qualifications to do things well; ""able teachers""; ""a capable administrator""; ""children as young as 14 can be extremely capable and dependable""",Actions
capable,WID-00510348-A-??-capable,"(able, capable)","have the skills and qualifications to do things well; ""able teachers""; ""a capable administrator""; ""children as young as 14 can be extremely capable and dependable""",Actions
effective,WID-00510644-A-??-effective,"(effective, efficient)","able to accomplish a purpose; functioning effectively; ""people who will do nothing unless they get something out of it for themselves are often highly effective persons...""-G.B.Shaw; ""effective personnel""; ""an efficient secretary""; ""the efficient cause of the revolution""",Actions
flag,WID-00511040-V-??-flag,(flag),"provide with a flag; ""Flag this file so that I can recognize it immediately""",Not-a-Feeling
competent,WID-00511214-A-??-incompetent,(incompetent),"not qualified or suited for a purpose; ""an incompetent secret service""; ""the filming was hopeless incompetent""",Actions
positive,WID-00511573-R-??-positively,(positively),"so as to be positive; in a positive manner; ""she intended her remarks to be interpreted positively""",Not-a-Feeling
competent,WID-00512130-A-??-competent,(competent),"legally qualified or sufficient; ""a competent court""; ""competent testimony""",Actions
competent,WID-00512261-A-??-incompetent,"(incompetent, unqualified)","legally not qualified or sufficient; ""a wife is usually considered unqualified to testify against her husband""; ""incompetent witnesses""",Actions
coquetry,WID-00512522-N-??-coquetry,"(flirt, flirting, flirtation, coquetry, dalliance, toying)",playful behavior intended to arouse sexual interest,Not-a-Feeling
enable,WID-00512877-V-??-enable,(enable),"render capable or able for some task; ""This skill will enable you to find a job on Wall Street""; ""The rope enables you to secure yourself when you climb the mountain""",Not-a-Feeling
emulous,WID-00512941-A-??-emulous,"(emulous, rivalrous)",eager to surpass others,Actions
fret,WID-00513981-A-??-fretful,"(fretful, querulous, whiney, whiny)","habitually complaining; ""a whiny child""",Actions
querulous,WID-00513981-A-??-querulous,"(fretful, querulous, whiney, whiny)","habitually complaining; ""a whiny child""",Actions
irreparable,WID-00514080-R-??-irreparably,(irreparably),in an irreparable manner or to an irreparable degree,Not-a-Feeling
tender,WID-00514871-V-??-tender,"(tender, tenderize, tenderise)","make tender or more tender as by marinating, pounding, or applying a tenderizer; ""tenderize meat""",Not-a-Feeling
whole,WID-00514884-A-??-whole,(whole),"including all components without exception; being one unit or constituting the full amount or extent or duration; complete; ""gave his whole attention""; ""a whole wardrobe for the tropics""; ""the whole hog""; ""a whole week""; ""the baby cried the whole trip home""; ""a whole loaf of bread""",Not-a-Feeling
waggery,WID-00515069-N-??-waggery,"(drollery, waggery)",a quaint and amusing jest,Not-a-Feeling
entire,WID-00515380-A-??-entire,"(entire, full, total)","constituting the full quantity or extent; complete; ""an entire town devastated by an earthquake""; ""gave full attention""; ""a total failure""",Not-a-Feeling
full,WID-00515380-A-??-full,"(entire, full, total)","constituting the full quantity or extent; complete; ""an entire town devastated by an earthquake""; ""gave full attention""; ""a total failure""",Not-a-Feeling
total,WID-00515380-A-??-total,"(entire, full, total)","constituting the full quantity or extent; complete; ""an entire town devastated by an earthquake""; ""gave full attention""; ""a total failure""",Not-a-Feeling
entire,WID-00515870-A-??-entire,"(integral, entire, intact)","constituting the undiminished entirety; lacking nothing essential especially not damaged; ""a local motion keepeth bodies integral""- Bacon; ""was able to keep the collection entire during his lifetime""; ""fought to keep the union intact""",Not-a-Feeling
reverberate,WID-00516142-V-??-reverberate,(reverberate),"treat, process, heat, melt, or refine in a reverberatory furnace; ""reverberate ore""",Not-a-Feeling
seed,WID-00516425-V-??-seed,(seed),"sprinkle with silver iodide particles to disperse and cause rain; ""seed clouds""",Not-a-Feeling
run,WID-00517529-V-??-run,(run),"cause to perform; ""run a subject""; ""run a process""",Not-a-Feeling
whole,WID-00517916-A-??-whole,(whole),"(of siblings) having the same parents; ""whole brothers and sisters""",Not-a-Feeling
alleviate,WID-00518395-V-??-alleviate,"(facilitate, ease, alleviate)","make easier; ""you could facilitate the process by sharing your knowledge""",Not-a-Feeling
ease,WID-00518395-V-??-ease,"(facilitate, ease, alleviate)","make easier; ""you could facilitate the process by sharing your knowledge""",Not-a-Feeling
decide,WID-00519103-A-??-undecided,(undecided),"not yet having made a commitment; ""undecided voters""",Actions
sacred,WID-00519823-A-??-sacred,(sacred),"(often followed by `to') devoted exclusively to a single use or purpose or person; ""a fund sacred to charity""; ""a morning hour sacred to study""; ""a private office sacred to the President""",Not-a-Feeling
interrupt,WID-00520019-V-??-interrupt,"(interrupt, disturb)","destroy the peace or tranquility of; ""Don't interrupt me when I'm reading""",Actions
complete,WID-00520214-A-??-complete,(complete),"having every necessary or normal part or component or step; ""a complete meal""; ""a complete wardrobe""; ""a complete set of the Britannica""; ""a complete set of china""; ""a complete defeat""; ""a complete accounting""",Not-a-Feeling
interrupt,WID-00520357-V-??-interrupt,"(interrupt, disrupt)","interfere in someone else's activity; ""Please don't interrupt me while I'm on the phone""",Actions
upset,WID-00521296-V-??-upset,(upset),"disturb the balance or stability of; ""The hostile talks upset the peaceful relations between the two countries""",Not-a-Feeling
blues,WID-00521641-V-??-blue,(blue),turn blue,Wellbeing
clean,WID-00522101-A-??-clean,(clean),"thorough and without qualification; ""a clean getaway""; ""a clean sweep""; ""a clean break""",Not-a-Feeling
dead,WID-00522349-A-??-dead,"(dead, utter)","complete; ""came to a dead stop""; ""utter seriousness""",Not-a-Feeling
utter,WID-00522349-A-??-utter,"(dead, utter)","complete; ""came to a dead stop""; ""utter seriousness""",Not-a-Feeling
translate,WID-00522441-V-??-translate,(translate),change the position of (figures or bodies) in space without rotation,Not-a-Feeling
thorough,WID-00522463-A-??-thorough,"(exhaustive, thorough, thoroughgoing)","performed comprehensively and completely; ""an exhaustive study""; ""made a thorough search""; ""thoroughgoing research""",Not-a-Feeling
get,WID-00522751-V-??-get,"(receive, get, find, obtain, incur)","receive a specified treatment (abstract); ""These aspects of civilization do not find expression or receive an interpretation""; ""His movie received a good review""; ""I got nothing but trouble for my good intentions""",Not-a-Feeling
full,WID-00522885-A-??-full,"(full, total)","complete in extent or degree and in every particular; ""a full game""; ""a total eclipse""; ""a total disaster""",Not-a-Feeling
total,WID-00522885-A-??-total,"(full, total)","complete in extent or degree and in every particular; ""a full game""; ""a total eclipse""; ""a total disaster""",Not-a-Feeling
take,WID-00523095-V-??-take,(take),"ascertain or determine by measuring, computing or take a reading from a dial; ""take a pulse""; ""A reading was taken of the earth's tremors""",Not-a-Feeling
good,WID-00523364-A-??-good,(good),"thorough; ""had a good workout""; ""gave the house a good cleaning""",Not-a-Feeling
heart,WID-00523479-A-??-hearty,(hearty),"without reservation; ""hearty support""",Not-a-Feeling
sound,WID-00523786-A-??-sound,(sound),"thorough; ""a sound thrashing""",Not-a-Feeling
take,WID-00524682-V-??-take,"(assume, acquire, adopt, take_on, take)","take on a certain form, attribute, or aspect; ""His voice took on a sad tone""; ""The story took a new turn""; ""he adopted an air of superiority""; ""She assumed strange manners""; ""The gods assume human or animal form in these fables""",Not-a-Feeling
partial,WID-00524693-A-??-partial,(partial),"being or affecting only a part; not total; ""a partial description of the suspect""; ""partial collapse""; ""a partial eclipse""; ""a partial monopoly""; ""partial immunity""",Not-a-Feeling
blanket,WID-00526062-A-??-blanket,"(across-the-board, all-embracing, all-encompassing, all-inclusive, blanket, broad, encompassing, extensive, panoptic, wide)","broad in scope or content; ""across-the-board pay increases""; ""an all-embracing definition""; ""blanket sanctions against human-rights violators""; ""an invention with broad applications""; ""a panoptic study of Soviet nationality""- T.G.Winner; ""granted him wide powers""",Not-a-Feeling
general,WID-00527188-A-??-general,"(cosmopolitan, ecumenical, oecumenical, general, universal, worldwide, world-wide)","of worldwide scope or applicability; ""an issue of cosmopolitan import""; ""the shrewdest political and ecumenical comment of our time""- Christopher Morley; ""universal experience""",Not-a-Feeling
universal,WID-00527188-A-??-universal,"(cosmopolitan, ecumenical, oecumenical, general, universal, worldwide, world-wide)","of worldwide scope or applicability; ""an issue of cosmopolitan import""; ""the shrewdest political and ecumenical comment of our time""- Christopher Morley; ""universal experience""",Not-a-Feeling
large,WID-00527870-A-??-large,(large),"having broad power and range and scope; ""taking the large view""; ""a large effect""; ""a large sympathy""",Not-a-Feeling
corn,WID-00528225-V-??-corn,(corn),"preserve with salt; ""corned beef""",Not-a-Feeling
recover,WID-00528339-V-??-recover,"(recover, go_back, recuperate)","regain a former condition after a financial loss; ""We expect the stocks to recover to $2.90""; ""The company managed to recuperate""",Actions
recuperate,WID-00528339-V-??-recuperate,"(recover, go_back, recuperate)","regain a former condition after a financial loss; ""We expect the stocks to recover to $2.90""; ""The company managed to recuperate""",Actions
rebound,WID-00528608-V-??-rebound,"(rally, rebound)","return to a former condition; ""The jilted lover soon rallied and found new friends""; ""The stock market rallied""",Not-a-Feeling
dawn,WID-00528836-V-??-dawn,(dawn),"become light; ""It started to dawn, and we had to get up""",Not-a-Feeling
radiate,WID-00529582-V-??-radiate,(radiate),"issue or emerge in rays or waves; ""Heat radiated from the metal box""",Not-a-Feeling
calm,WID-00529657-A-??-calm,"(calm, unagitated, serene, tranquil)","not agitated; without losing self-possession; ""spoke in a calm voice""; ""remained calm throughout the uproar""; ""he remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country""",Actions
serene,WID-00529657-A-??-serene,"(calm, unagitated, serene, tranquil)","not agitated; without losing self-possession; ""spoke in a calm voice""; ""remained calm throughout the uproar""; ""he remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country""",Actions
tranquil,WID-00529657-A-??-tranquil,"(calm, unagitated, serene, tranquil)","not agitated; without losing self-possession; ""spoke in a calm voice""; ""remained calm throughout the uproar""; ""he remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country""",Actions
escape,WID-00530017-V-??-escape,(escape),"issue or leak, as from a small opening; ""Gas escaped into the bedroom""",Not-a-Feeling
cool,WID-00530772-A-??-cool,"(cool, coolheaded, nerveless)","marked by calm self-control (especially in trying circumstances); unemotional; ""play it cool""; ""keep cool""; ""stayed coolheaded in the crisis""; ""the most nerveless winner in the history of the tournament""",Actions
desolate,WID-00531302-V-??-desolate,"(depopulate, desolate)","reduce in population; ""The epidemic depopulated the countryside""",Not-a-Feeling
compose,WID-00531342-A-??-discomposed,(discomposed),"having your composure disturbed; ""looked about with a wandering and discomposed air""",Actions
abash,WID-00531628-A-??-abashed,"(abashed, chagrined, embarrassed)","feeling or caused to feel uneasy and self-conscious; ""felt abashed at the extravagant praise""; ""chagrined at the poor sales of his book""; ""was embarrassed by her child's tantrums""",Social
embarrass,WID-00531628-A-??-embarrassed,"(abashed, chagrined, embarrassed)","feeling or caused to feel uneasy and self-conscious; ""felt abashed at the extravagant praise""; ""chagrined at the poor sales of his book""; ""was embarrassed by her child's tantrums""",Social
blush,WID-00531887-A-??-blushing,"(blushful, blushing, red-faced)","having a red face from embarrassment or shame or agitation or emotional upset; ""the blushing boy was brought before the Principal""; ""her blushful beau""; ""was red-faced with anger""",Not-a-Feeling
detract,WID-00532115-V-??-detract,"(take_away, detract)","take away a part from; diminish; ""His bad manners detract from his good character""",Not-a-Feeling
bother,WID-00532147-A-??-bothered,"(bothered, daunted, fazed)","caused to show discomposure; ""refused to be fazed by the objections""",Actions
daunt,WID-00532147-A-??-daunted,"(bothered, daunted, fazed)","caused to show discomposure; ""refused to be fazed by the objections""",Actions
dizzy,WID-00532328-V-??-dizzy,(dizzy),"make dizzy or giddy; ""a dizzying pace""",Not-a-Feeling
envenom,WID-00532429-V-??-envenom,"(poison, envenom)","add poison to; ""Her husband poisoned her drink in order to kill her""",Not-a-Feeling
external,WID-00532607-V-??-externalize,"(exteriorize, exteriorise, externalize, externalise, objectify)","make external or objective, or give reality to; ""language externalizes our thoughts""",Not-a-Feeling
sole,WID-00533403-V-??-sole,"(sole, resole)","put a new sole on; ""sole the shoes""",Not-a-Feeling
apprehend,WID-00533452-A-??-apprehensible,"(apprehensible, intelligible, graspable, perceivable, understandable)",capable of being apprehended or understood,Other
intelligible,WID-00533452-A-??-intelligible,"(apprehensible, intelligible, graspable, perceivable, understandable)",capable of being apprehended or understood,Other
understand,WID-00533452-A-??-understandable,"(apprehensible, intelligible, graspable, perceivable, understandable)",capable of being apprehended or understood,Other
dark,WID-00534250-A-??-dark,"(dark, obscure)","marked by difficulty of style or expression; ""much that was dark is now quite clear to me""; ""those who do not appreciate Kafka's work say his style is obscure""",Not-a-Feeling
obscure,WID-00534250-A-??-obscure,"(dark, obscure)","marked by difficulty of style or expression; ""much that was dark is now quite clear to me""; ""those who do not appreciate Kafka's work say his style is obscure""",Not-a-Feeling
enigmatic,WID-00534524-A-??-enigmatic,"(enigmatic, enigmatical, puzzling)","not clear to the understanding; ""I didn't grasp the meaning of that enigmatic comment until much later""; ""prophetic texts so enigmatic that their meaning has been disputed for centuries""",Other
lose,WID-00535170-A-??-lost,"(lost, missed)","not caught with the senses or the mind; ""words lost in the din""",Not-a-Feeling
miss,WID-00535170-A-??-missed,"(lost, missed)","not caught with the senses or the mind; ""words lost in the din""",Not-a-Feeling
shallow,WID-00535988-V-??-shallow,"(shallow, shoal)","become shallow; ""the lake shallowed over time""",Not-a-Feeling
shoal,WID-00535988-V-??-shoal,"(shallow, shoal)","become shallow; ""the lake shallowed over time""",Not-a-Feeling
shallow,WID-00536143-V-??-shallow,"(shallow, shoal)","make shallow; ""The silt shallowed the canal""",Not-a-Feeling
shoal,WID-00536143-V-??-shoal,"(shallow, shoal)","make shallow; ""The silt shallowed the canal""",Not-a-Feeling
tense,WID-00536304-V-??-tense,(tense),"increase the tension on; ""alternately relax and tense your calf muscle""; ""tense the rope manually before tensing the spring""",Not-a-Feeling
slack,WID-00536535-V-??-slack,(slack),"release tension on; ""slack the rope""",Actions
cotillion,WID-00536655-N-??-cotillion,"(cotillion, cotilion)",a lively dance originating in France in the 18th century,Not-a-Feeling
run,WID-00539110-V-??-run,"(move, go, run)","progress by being changed; ""The speech has to go through several more drafts""; ""run through your presentation before the meeting""",Not-a-Feeling
single,WID-00539389-A-??-single,"(single, undivided, exclusive)","not divided among or brought to bear on more than one object or objective; ""judging a contest with a single eye""; ""a single devotion to duty""; ""undivided affection""; ""gained their exclusive attention""",Not-a-Feeling
extend,WID-00540235-V-??-extend,"(widen, broaden, extend)","extend in scope or range or area; ""The law was extended to all citizens""; ""widen the range of applications""; ""broaden your horizon""; ""Extend your backyard""",Not-a-Feeling
diffuse,WID-00540487-A-??-diffuse,(diffuse),"spread out; not concentrated in one place; ""a large diffuse organization""",Not-a-Feeling
diffuse,WID-00540632-A-??-diffused,(diffused),"(of light rays) subjected to scattering by reflection from a rough surface or transmission through a translucent material; ""diffused light""",Not-a-Feeling
expand,WID-00540946-V-??-expand,"(extend, expand)","expand the influence of; ""The King extended his rule to the Eastern part of the continent""",Not-a-Feeling
extend,WID-00540946-V-??-extend,"(extend, expand)","expand the influence of; ""The King extended his rule to the Eastern part of the continent""",Not-a-Feeling
expand,WID-00541163-V-??-expand,(expand),"make bigger or wider in size, volume, or quantity; ""expand the house by adding another wing""",Other
share,WID-00541189-A-??-shared,"(divided, divided_up, shared, shared_out)",distributed in portions (often equal) on the basis of a plan or purpose,Not-a-Feeling
widespread,WID-00541614-A-??-widespread,"(far-flung, widespread)","distributed over a considerable extent; ""far-flung trading operations""; ""the West's far-flung mountain ranges""; ""widespread nuclear fallout""",Not-a-Feeling
stretch,WID-00541746-V-??-stretch,(stretch),"extend the scope or meaning of; often unduly; ""Stretch the limits""; ""stretch my patience""; ""stretch the imagination""",Not-a-Feeling
come,WID-00542120-V-??-come,(come),"reach or enter a state, relation, condition, use, or position; ""The water came to a boil""; ""We came to understand the true meaning of life""; ""Their anger came to a boil""; ""I came to realize the true meaning of life""; ""The shoes came untied""; ""come into contact with a terrorist group""; ""his face went red""; ""your wish will come true""",Not-a-Feeling
thin,WID-00542359-A-??-thin,"(sparse, thin)","not dense; ""a thin beard""; ""trees were sparse""",Not-a-Feeling
grow,WID-00543410-V-??-grow,"(develop, grow)","grow emotionally or mature; ""The child developed beautifully in her new kindergarten""; ""When he spent a summer at camp, the boy grew noticeably and no longer showed some of his old adolescent behavior""",Other
outgrow,WID-00543745-V-??-outgrow,(outgrow),"grow too large or too mature for; ""I have outgrown these clothes""; ""She outgrew her childish habits""",Not-a-Feeling
afraid,WID-00543993-A-??-afraid,(afraid),"filled with regret or concern; used often to soften an unpleasant statement; ""I'm afraid I won't be able to come""; ""he was afraid he would have to let her go""; ""I'm afraid you're wrong""",Actions
transform,WID-00544011-V-??-transform,(transform),subject to a mathematical transformation,Not-a-Feeling
broil,WID-00544136-V-??-broil,"(broil, bake)","heat by a natural force; ""The sun broils the valley in the summer""",Not-a-Feeling
afraid,WID-00544231-A-??-afraid,(afraid),"feeling worry or concern or insecurity; ""She was afraid that I might be embarrassed""; ""terribly afraid of offending someone""; ""I am afraid we have witnessed only the first phase of the conflict""",Actions
poach,WID-00544404-V-??-poach,(poach),"cook in a simmering liquid; ""poached apricots""",Not-a-Feeling
haunt,WID-00544478-A-??-haunted,"(haunted, obsessed, preoccupied, taken_up)","having or showing excessive or compulsive concern with something; ""became more and more haunted by the stupid riddle""; ""was absolutely obsessed with the girl""; ""got no help from his wife who was preoccupied with the children""; ""he was taken up in worry for the old woman""",Actions
